_id,date,action,comment,cat,recap
9195783e-b8dd-4838-a3f4-838b23ee35be,2019-08-05T22:59:38.996116,good,cuddled with partner,biscuit,biscuit cuddled with partner
d0dfc83c-4c0e-4956-a4dd-6331ff0b468c,2018-04-28T23:25:08.996153,good,cuddled with me,biscuit,biscuit cuddled with me
f0e9ebc1-9abd-4ab2-97da-aff0bae8235f,2021-12-30T02:59:05.996168,good,did something adorable,dr pepper,dr pepper did something adorable
35ea346a-0040-4fd6-923b-1317a0596dd1,2021-08-21T04:20:23.996180,bad,attacked partner,peanut butter,peanut butter attacked partner
dc7b03f6-091b-43c3-bccb-f55bd28d2661,2018-08-26T19:26:44.996191,good,cuddled with dog,biscuit,biscuit cuddled with dog
af8d6b04-c942-4e66-a1df-dddb5636bc88,2020-02-18T23:44:23.996202,good,cuddled with partner,peanut butter,peanut butter cuddled with partner
e3dea0cf-a31d-4c98-b055-44ca83c43afa,2020-03-31T03:37:00.996213,bad,attacked partner,biscuit,biscuit attacked partner
eb5f860c-c648-463c-bd63-f0171f081e43,2018-12-09T00:47:51.996227,good,cuddled with dog,ollie,ollie cuddled with dog
a04db110-6b37-4052-945a-e4002aedbead,2019-08-20T06:55:24.996237,good,plays fetch,mio,mio plays fetch
a099e2b5-c6c0-4c22-81e1-8a90bf667180,2020-08-17T01:06:48.996250,bad,attacked partner,mio,mio attacked partner
2407d1cb-85e6-4044-96c9-4bb9f8ae99bc,2020-01-01T14:04:44.996259,bad,attacked partner,dr pepper,dr pepper attacked partner
a2246ac8-7aae-4003-831a-ffa63e9a408d,2021-07-27T06:47:45.996269,bad,scratched furniture,ollie,ollie scratched furniture
c6bcfbd6-9e10-40a4-962f-8e610929214e,2021-03-22T04:42:22.996279,bad,attacked dog,sammy,sammy attacked dog
17a8d203-3d90-4148-8c21-fd7085b050ac,2019-09-21T22:23:16.996291,good,plays fetch,peanut butter,peanut butter plays fetch
9e26b15d-d746-4580-bfa0-298a152381ff,2018-05-09T19:38:23.996301,good,plays fetch,sammy,sammy plays fetch
bc5fe3dd-8b60-49c7-9fff-059a90900c5b,2019-08-02T08:47:19.996311,good,cuddled with partner,sammy,sammy cuddled with partner
6bc6f088-1688-40a3-b56c-b5e88ce69dc0,2019-03-16T05:22:54.996321,bad,attacked me,zeep,zeep attacked me
10ab4f93-451c-4918-a349-34b246fd4b3c,2019-10-25T05:57:59.996330,good,plays fetch,ollie,ollie plays fetch
090cea4e-758e-4943-96a0-a6f5275a635a,2019-03-24T22:39:01.996340,bad,attacked partner,mio,mio attacked partner
3f6d7952-7082-4076-99a5-3d0d6902e663,2017-11-05T04:38:01.996350,bad,scratched furniture,dr pepper,dr pepper scratched furniture
dd177b9d-8b5c-4771-9e64-88f21728dd1c,2018-06-07T21:49:59.996361,good,cuddled with partner,mio,mio cuddled with partner
5896a6ed-691c-4287-a4f9-c34105a1737e,2017-07-11T05:10:02.996372,good,cuddled with dog,peanut butter,peanut butter cuddled with dog
c03d3cae-c99d-4e0b-adbc-a043772f6e3e,2019-03-19T07:09:04.996381,bad,decided not to go for a walk,dr pepper,dr pepper decided not to go for a walk
92663a84-d301-4191-af7c-ea3adbc25063,2017-08-08T20:19:50.996391,bad,attacked dog,sammy,sammy attacked dog
29902078-8584-4413-9527-27cc0b1b10e3,2020-03-15T23:34:31.996400,good,did something adorable,ollie,ollie did something adorable
42d16838-8099-408e-bc74-6da14b786c8b,2020-08-18T09:41:28.996411,bad,attacked partner,peanut butter,peanut butter attacked partner
57675066-016b-4065-8a46-3ec73ca090d8,2019-02-13T03:00:48.996421,good,plays fetch,ollie,ollie plays fetch
1c2924c1-14c6-4996-a8d9-fe8cbf423d02,2020-12-30T17:06:43.996430,bad,attacked dog,idget,idget attacked dog
5f64a3c6-e1e1-4b75-b366-a21987891425,2019-05-20T22:39:45.996442,bad,sat on keyboard,biscuit,biscuit sat on keyboard
f253d8e1-4088-4f18-a9e9-4848b87b5c5f,2021-12-28T08:44:18.996453,bad,attacked partner,zeep,zeep attacked partner
7b7169fb-594c-42cb-9dd4-d4bb793b9525,2019-07-11T23:25:32.996462,good,plays fetch,sammy,sammy plays fetch
dc49b778-65ae-4cd2-a4db-f83b1d317539,2018-03-01T23:17:59.996472,bad,attacked dog,biscuit,biscuit attacked dog
0d3d1d83-8178-480f-8245-2e6b069f1d1c,2018-02-18T14:58:43.996482,good,cuddled with partner,biscuit,biscuit cuddled with partner
69b0858c-8047-4a6d-8de8-815c3783cd5b,2019-11-25T16:18:08.996492,bad,sat on keyboard,biscuit,biscuit sat on keyboard
b98fcb1a-5df6-47ab-b589-8f1f62623b1f,2019-03-08T13:10:53.996504,good,cuddled with me,biscuit,biscuit cuddled with me
f2fad5df-7219-4eaa-8934-39f6b74ac14b,2021-02-04T09:45:22.996516,good,plays fetch,zeep,zeep plays fetch
b47f02c2-8b61-43bc-be52-f8e93b90a7f5,2021-01-10T23:27:42.996526,good,cuddled with dog,zeep,zeep cuddled with dog
3f46420a-278d-457a-80ed-e17452b81950,2017-04-24T16:05:41.996536,bad,attacked dog,dr pepper,dr pepper attacked dog
ad61c19f-c152-4772-ac82-7e823d1b0357,2017-04-10T13:10:29.996546,good,did something adorable,mio,mio did something adorable
f4cac32b-97bf-4016-802f-540f24a7ae50,2019-07-20T21:51:08.996558,good,cuddled with dog,idget,idget cuddled with dog
bc3d83b2-0ecc-48d3-a9f1-57d162bde2c2,2021-12-11T10:21:37.996568,bad,attacked partner,biscuit,biscuit attacked partner
69780b95-3b41-4bab-9ce7-38c6624e247a,2018-05-31T23:16:46.996578,bad,attacked dog,dr pepper,dr pepper attacked dog
b7f6601f-64e2-4587-ada3-c525f0083bdd,2021-08-13T02:49:24.996588,bad,decided not to go for a walk,zeep,zeep decided not to go for a walk
5f1bcee2-20c7-4930-9d53-f1e30e7af583,2017-03-24T15:27:15.996598,bad,sat on keyboard,mio,mio sat on keyboard
5c8eeba6-9e13-4ecd-8bb9-9b19ff3ad95c,2019-03-24T17:10:50.996607,bad,sat on keyboard,idget,idget sat on keyboard
59ca4f06-228f-4f6f-8454-f5f82a3722d4,2020-01-17T05:48:54.996616,good,did something adorable,idget,idget did something adorable
79fea52b-77db-44e8-9030-344c5c8e646c,2018-08-22T04:52:25.996626,good,cuddled with dog,ollie,ollie cuddled with dog
9eafdefa-177a-4f15-b3d5-31d451726f48,2021-04-03T11:28:28.996638,bad,scratched furniture,dr pepper,dr pepper scratched furniture
16fe6f6b-d6eb-41ef-bd7d-86f766d9b624,2021-06-21T20:27:11.996648,good,cuddled with me,mio,mio cuddled with me
3f71d692-22c2-46af-9247-a18796c61f23,2018-02-19T23:52:08.996658,good,cuddled with me,sammy,sammy cuddled with me
fa6710d7-6df7-4c00-a067-b69f914133b3,2019-12-09T01:59:30.996667,bad,scratched drapes,biscuit,biscuit scratched drapes
106ba691-228a-4a28-836c-74d196ae971d,2021-10-20T17:14:45.996694,bad,scratched drapes,idget,idget scratched drapes
962dccdf-69e0-4280-a11d-625d52951951,2020-05-02T21:04:15.996704,good,cuddled with dog,zeep,zeep cuddled with dog
92800e65-3c8c-46d6-8122-10ffacd95ba6,2019-02-20T16:26:36.996714,bad,sat on keyboard,zeep,zeep sat on keyboard
cc3fe718-16ef-4940-9bdd-c62e97cb1eaf,2017-11-26T19:11:47.996723,good,plays fetch,sammy,sammy plays fetch
65036db0-95c9-4609-bedc-bbf12d8fb5bb,2018-02-06T09:39:08.996733,bad,scratched furniture,dr pepper,dr pepper scratched furniture
00ffd00d-39d7-49d1-be78-9e711f635c9e,2017-03-16T19:23:17.996743,good,cuddled with partner,ollie,ollie cuddled with partner
8a319b5f-b430-4ae4-b536-fcea57691326,2021-11-14T09:33:54.996754,bad,scratched furniture,zeep,zeep scratched furniture
91f33acb-d4c4-4fbc-8886-b894520d14e4,2018-05-17T14:38:04.996764,good,did something adorable,ollie,ollie did something adorable
a8e55db8-ac6b-4c09-82d8-443553bde185,2018-07-01T09:21:13.996774,good,cuddled with partner,zeep,zeep cuddled with partner
a49326a7-c15d-4355-8ea4-a00fc20df525,2020-08-20T18:06:47.996786,bad,decided not to go for a walk,peanut butter,peanut butter decided not to go for a walk
d70661d8-d094-4412-a874-2d9a0423e10b,2019-05-11T21:13:01.996796,bad,scratched drapes,biscuit,biscuit scratched drapes
09c82ec4-5d40-47bb-845a-db771cb57aef,2021-12-06T00:46:56.996806,good,plays fetch,idget,idget plays fetch
d24f9052-85eb-44a3-974a-8d4cefc9cbc0,2017-03-15T04:32:08.996816,bad,decided not to go for a walk,sammy,sammy decided not to go for a walk
0ae08689-e6f3-4fdf-b7fb-66a904caf240,2017-07-01T00:19:15.996826,good,plays fetch,ollie,ollie plays fetch
b4dcbb54-e4bd-4160-957b-ee569f4a393d,2020-01-13T05:46:05.996837,bad,scratched drapes,sammy,sammy scratched drapes
a97e3782-8782-44c1-ba07-cffe9bf1382e,2020-02-19T16:14:54.996927,good,cuddled with partner,dr pepper,dr pepper cuddled with partner
8bd6576c-1d95-467b-9cb4-2f4469e04f53,2018-06-12T22:42:23.996940,good,plays fetch,mio,mio plays fetch
6c75ebc0-81ed-44c1-9ff6-0536360b2847,2018-06-29T17:17:01.996951,bad,scratched furniture,sammy,sammy scratched furniture
ce3485b8-d469-402e-8466-0b4c651adadd,2019-02-18T12:37:06.996961,good,cuddled with partner,ollie,ollie cuddled with partner
6c4b58bc-3dcd-4023-9997-6ed111ab52f6,2017-12-30T09:12:58.996971,bad,attacked partner,peanut butter,peanut butter attacked partner
248daf33-ab10-4c92-8a53-d059c51f1f1e,2021-11-21T21:38:04.996981,good,cuddled with me,ollie,ollie cuddled with me
72fdd30c-d42a-4661-8ec4-bfa2075a54a0,2019-01-20T23:24:11.996991,bad,scratched furniture,biscuit,biscuit scratched furniture
194d9fdd-e758-4c91-a405-b2092a68c5ab,2021-11-14T15:28:22.997005,bad,attacked partner,zeep,zeep attacked partner
c105ea2b-f9ac-4e98-9ed0-4dfed2523ae4,2018-08-07T20:41:01.997015,good,cuddled with dog,dr pepper,dr pepper cuddled with dog
5dfdf173-a390-42fa-9145-1e6849971841,2021-09-07T23:35:31.997025,good,cuddled with dog,dr pepper,dr pepper cuddled with dog
812d6f3a-4ada-4dc8-85df-1fb8345de05e,2021-09-17T23:40:59.997035,bad,attacked me,peanut butter,peanut butter attacked me
f4a2b6de-ab80-49ba-9a87-e8b8e93ff61d,2020-05-03T20:30:54.997045,bad,scratched furniture,idget,idget scratched furniture
c6c6be08-c8cd-4ce7-8fe9-8d94952717c5,2017-09-11T14:05:58.997055,bad,scratched furniture,zeep,zeep scratched furniture
a205d221-1307-4bd8-845e-efdf518ae983,2021-05-12T15:22:34.997065,good,cuddled with dog,mio,mio cuddled with dog
0277b0a0-a4bf-4bad-b123-ae67fcf1cdab,2018-12-29T21:03:34.997076,bad,attacked partner,dr pepper,dr pepper attacked partner
3429b6b5-19bd-4a22-b4c2-fbffd8cf700e,2018-09-10T00:23:16.997086,good,cuddled with partner,ollie,ollie cuddled with partner
d487c484-3a6a-4abe-9b5b-6788c73dfd97,2020-05-21T01:51:37.997095,good,cuddled with me,biscuit,biscuit cuddled with me
9a0df608-ff8f-4710-b0fb-4fd63210562f,2017-10-31T04:39:13.997105,good,cuddled with me,idget,idget cuddled with me
7c5fb11e-4441-4214-8377-c7658e442fcc,2021-10-05T21:06:24.997115,bad,sat on keyboard,peanut butter,peanut butter sat on keyboard
deb7a735-c838-44b1-b3da-d1bd8a03147e,2018-06-23T03:45:19.997125,bad,sat on keyboard,ollie,ollie sat on keyboard
3aea7d47-20fd-4f0f-b848-fd3c7b4278e8,2017-02-27T12:14:02.997135,bad,scratched drapes,dr pepper,dr pepper scratched drapes
c1d1c45b-1131-4b38-b14d-11cef102cfb7,2020-05-23T13:12:17.997147,bad,attacked dog,peanut butter,peanut butter attacked dog
692eff13-f900-4b5c-92c3-fcea699c0098,2019-02-07T13:32:33.997158,bad,decided not to go for a walk,idget,idget decided not to go for a walk
8e86679f-8ce7-4243-b32d-934e77bd15fb,2021-05-31T12:32:42.997168,good,cuddled with me,mio,mio cuddled with me
5e7f7511-9481-4952-b362-7b7f47c9bd05,2021-08-26T03:15:09.997179,good,cuddled with dog,mio,mio cuddled with dog
86c4b439-65ac-4505-b606-179e206561b5,2020-01-14T17:09:50.997188,good,cuddled with dog,zeep,zeep cuddled with dog
25a247dc-1498-4cd0-8700-2f330fd48154,2018-04-17T22:34:39.997200,bad,scratched furniture,zeep,zeep scratched furniture
b9870c9b-7709-4812-9b22-1d4858ccfeb1,2021-09-28T23:23:10.997211,good,did something adorable,ollie,ollie did something adorable
ff44e3c5-64b2-4c33-af9a-574640a534ac,2017-12-10T15:46:31.997221,bad,scratched furniture,sammy,sammy scratched furniture
78e1b821-4a4d-4560-8d4d-5214c0dcc670,2017-07-06T19:38:59.997231,bad,sat on keyboard,mio,mio sat on keyboard
f1c23a7e-f008-413e-a54c-de979c356c07,2021-04-20T05:36:40.997241,bad,attacked dog,zeep,zeep attacked dog
041e10ba-6a6b-4ea4-b921-29f751952bd4,2018-04-16T18:13:57.997251,good,cuddled with dog,biscuit,biscuit cuddled with dog
c4822a81-582e-4bbf-b016-daba83d9c45b,2020-07-24T00:58:12.997264,bad,attacked me,biscuit,biscuit attacked me
18e588ec-e41c-4382-9fba-13a2c0aba200,2020-06-18T03:52:44.997274,good,did something adorable,ollie,ollie did something adorable
9bcbba7f-4322-4b7a-abd8-946618d5b1ef,2020-02-01T08:38:51.997286,good,plays fetch,mio,mio plays fetch
6ff8763b-4e51-4a13-be46-c95c9d50a240,2017-10-07T19:24:19.997296,bad,attacked partner,idget,idget attacked partner
fbb52c0b-d333-4bdd-ba1f-30d2c654e7c3,2018-12-11T14:56:13.997306,good,cuddled with partner,zeep,zeep cuddled with partner
e5bfb7d5-099f-458e-83aa-74f9fb485aef,2021-11-18T21:26:36.997316,bad,attacked me,peanut butter,peanut butter attacked me
8a5a0a4d-d0c0-443a-819f-740e350a515d,2019-07-10T23:17:26.997326,good,cuddled with me,peanut butter,peanut butter cuddled with me
1e9c2fe1-a76a-46a4-9af6-48164738176c,2018-12-14T08:56:03.997336,good,did something adorable,idget,idget did something adorable
eac4a813-2c05-4e32-9c09-9188046441e1,2018-07-20T10:06:21.997346,good,plays fetch,sammy,sammy plays fetch
eb568cd1-5ba5-4660-830c-e159c50ade4a,2018-04-19T16:45:29.997356,good,plays fetch,biscuit,biscuit plays fetch
e016d172-5726-4cf4-9c05-6685b6118c2a,2019-03-15T09:03:56.997366,bad,attacked me,idget,idget attacked me
7c649de7-7698-4e99-8a9d-52120323f7a5,2021-12-04T16:37:35.997376,good,plays fetch,biscuit,biscuit plays fetch
e92b0c77-edc9-4bb6-9ab1-1e560b8051b1,2019-03-13T15:18:30.997387,bad,attacked partner,idget,idget attacked partner
5d2c7f81-2e37-48ed-a17a-7d953f83b8b9,2017-01-19T05:46:43.997396,good,cuddled with me,biscuit,biscuit cuddled with me
4758138a-c402-4b45-b9a7-4269673e74c7,2017-06-26T04:52:44.997409,bad,attacked me,sammy,sammy attacked me
bd3758e3-23ff-422a-98a8-73da7530c461,2019-02-02T18:50:33.997421,bad,attacked me,mio,mio attacked me
630b0f41-31e7-441e-b053-c9357fc1a6a0,2018-02-11T20:10:13.997431,bad,attacked me,sammy,sammy attacked me
7b61d49f-5a28-473d-bfb1-478da9d47330,2019-08-13T03:42:55.997442,bad,attacked me,dr pepper,dr pepper attacked me
1cbcad14-c11e-4505-b721-b646f0fa32f7,2017-07-22T12:48:26.997452,bad,scratched furniture,peanut butter,peanut butter scratched furniture
08e23fdb-1627-4ad4-ba71-13ba68d3e691,2021-10-23T22:04:02.997461,good,cuddled with partner,ollie,ollie cuddled with partner
ab07760f-bf03-4c2b-8f68-c92998af8bd8,2017-11-30T06:17:41.997471,bad,decided not to go for a walk,dr pepper,dr pepper decided not to go for a walk
f99bbcc3-52ba-41c5-b00c-b667d6b9dbfa,2019-06-04T21:02:21.997481,bad,attacked partner,dr pepper,dr pepper attacked partner
1d2d0bce-3444-4a36-8f1f-e96a924d2091,2021-09-18T00:43:01.997493,bad,attacked me,dr pepper,dr pepper attacked me
1fac8d92-7d8c-4410-a4a0-94e4c505595f,2017-09-30T15:36:39.997504,bad,attacked partner,idget,idget attacked partner
eeff2c99-ff7c-48c8-9798-04df402a4f39,2018-10-22T19:18:00.997514,bad,decided not to go for a walk,sammy,sammy decided not to go for a walk
0369eb6f-8b9f-435d-8644-3935b8de1487,2017-04-08T05:09:28.997523,bad,scratched furniture,dr pepper,dr pepper scratched furniture
bd8a5d30-fecb-4bf2-931f-8df13248926a,2018-07-10T15:36:11.997534,bad,scratched furniture,zeep,zeep scratched furniture
f4561321-60c0-4a8e-9be5-d78832f74c2c,2020-11-26T15:42:20.997544,good,cuddled with me,ollie,ollie cuddled with me
0f7c9b23-d41a-4023-ae5b-d6ed014c9de5,2019-11-24T21:10:54.997556,bad,scratched furniture,mio,mio scratched furniture
14b469d7-c3bd-48bd-9bb1-a242641deaf6,2019-07-23T04:43:43.997566,good,plays fetch,sammy,sammy plays fetch
a1b5afe8-fc58-4a93-98df-712e48781196,2020-06-02T08:43:29.997576,bad,decided not to go for a walk,biscuit,biscuit decided not to go for a walk
90368ddb-0d8d-42a5-9158-7a7e75dab0d0,2020-06-23T05:58:47.997589,good,cuddled with partner,biscuit,biscuit cuddled with partner
20a90fd4-a0c7-442a-ac6a-9d6b12184999,2017-11-04T05:12:09.997599,bad,sat on keyboard,mio,mio sat on keyboard
622205e5-62cc-46ab-a805-20e7ac20fc1b,2017-10-31T13:29:47.997609,good,cuddled with partner,mio,mio cuddled with partner
0b9d5e11-72ba-4810-bd45-edcaba03b8af,2017-02-05T16:45:10.997619,bad,sat on keyboard,mio,mio sat on keyboard
263b631e-2be9-4201-8be9-c288e5a623ba,2021-06-13T09:53:23.997629,bad,scratched furniture,dr pepper,dr pepper scratched furniture
13c4d95b-713e-4dc4-bb82-95998495645d,2021-01-27T09:01:04.997638,bad,attacked me,mio,mio attacked me
634c0d62-8c63-418c-be16-5b9436086f6d,2017-10-08T11:35:42.997648,bad,sat on keyboard,mio,mio sat on keyboard
59d933b6-fd6d-4817-9005-39b97bc4656f,2021-03-14T16:09:01.997658,bad,attacked dog,peanut butter,peanut butter attacked dog
be9b00e2-319f-4e16-9f25-9020ce46769a,2017-01-11T07:50:04.997668,bad,attacked me,ollie,ollie attacked me
515b1306-88c2-452e-8c61-139e766a4cc5,2020-12-08T15:11:25.997679,bad,attacked dog,peanut butter,peanut butter attacked dog
22e29a03-953d-4a14-9602-c32d4e4883a0,2018-09-25T21:48:20.997705,bad,attacked partner,dr pepper,dr pepper attacked partner
f489e18c-f0b0-4657-8dfe-fc7d8d25ad9b,2021-01-19T05:12:44.997718,bad,decided not to go for a walk,biscuit,biscuit decided not to go for a walk
94cef05f-d133-498e-a316-558bb6f79623,2018-12-26T00:11:05.997729,good,did something adorable,idget,idget did something adorable
2605ffa7-19fb-4665-b86d-510e8523b201,2019-02-12T01:12:43.997738,good,cuddled with me,biscuit,biscuit cuddled with me
ed1f4431-3974-40ae-a70c-673aca5272d8,2017-01-24T12:08:03.997749,bad,scratched furniture,mio,mio scratched furniture
c5def3ef-7a4c-4d25-a8dc-5d0ee985100b,2020-02-19T17:11:46.997759,bad,attacked partner,ollie,ollie attacked partner
8634457b-a166-4d93-8232-2271a806bcc0,2021-03-31T10:37:47.997769,bad,attacked dog,dr pepper,dr pepper attacked dog
25c7fa87-a16a-48b7-b6d5-e45bcc959c1b,2017-05-06T06:11:41.997779,bad,sat on keyboard,ollie,ollie sat on keyboard
2baee24f-038f-4d50-8261-bd8acd971017,2020-09-01T06:15:03.997791,bad,scratched furniture,idget,idget scratched furniture
df335d15-1e87-48a0-9737-71671c35264a,2017-01-22T15:16:01.997802,good,cuddled with dog,peanut butter,peanut butter cuddled with dog
41b9254b-d8e4-453b-a297-739573c964d1,2019-04-16T20:17:08.997812,bad,attacked dog,sammy,sammy attacked dog
73b14491-a28f-4c9f-8e30-e114075df3d7,2018-04-08T17:15:47.997822,bad,scratched furniture,ollie,ollie scratched furniture
ad1cb752-901c-42c7-92f7-e36d1e504db6,2019-04-25T02:05:20.997832,bad,scratched drapes,dr pepper,dr pepper scratched drapes
c96d67ca-7e46-4f8b-896b-97d8dcec8bb4,2019-08-29T04:06:02.997842,good,cuddled with me,dr pepper,dr pepper cuddled with me
2949338e-c1e7-44eb-b4df-ff9c7c084a90,2017-06-27T18:38:56.997855,bad,decided not to go for a walk,idget,idget decided not to go for a walk
9e45f08c-6417-4c14-964b-62675601cc46,2019-03-29T19:30:47.997866,good,did something adorable,peanut butter,peanut butter did something adorable
a81c6c37-63a0-4ea0-9e97-612e982e3437,2017-02-27T22:55:04.997876,bad,attacked partner,idget,idget attacked partner
